,사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
9409,2019036,2018,보행노인,11305002,서울특별시 강북구2,서울특별시 강북구 미아동(미래본경희한의원 부근),5,8,0,4,3,1,37.61997634,127.0183421
9410,2019036,2018,보행노인,11305003,서울특별시 강북구3,서울특별시 강북구 미아동(GS25미아진영점 부근),5,5,0,3,2,0,37.62045704,127.0286863
9411,2019036,2018,보행노인,11305004,서울특별시 강북구4,서울특별시 강북구 미아동(기아오토큐미아점 부근),4,4,1,1,2,0,37.61134812,127.0222126
9412,2019036,2018,보행노인,11305005,서울특별시 강북구5,서울특별시 강북구 미아동(수유시장 부근),4,4,0,3,1,0,37.63083651,127.024259
9413,2019036,2018,보행노인,11305006,서울특별시 강북구6,서울특별시 강북구 미아동(삼양입구사거리 부근),4,4,0,3,1,0,37.61701316,127.0297198
9414,2019036,2018,보행노인,11305007,서울특별시 강북구7,서울특별시 강북구 수유동(광은빌딩 부근),4,5,0,2,2,1,37.62921808,127.0179301
9415,2019036,2018,보행노인,11305008,서울특별시 강북구8,서울특별시 강북구 번동(세븐일레븐 번동점 부근),3,3,1,2,0,0,37.63485338,127.0257058
9416,2019036,2018,보행노인,11305009,서울특별시 강북구9,서울특별시 강북구 수유동(수유역 부근),3,3,0,2,1,0,37.63814105,127.0257134
9417,2019036,2018,보행노인,11305010,서울특별시 강북구10,서울특별시 강북구 수유동(프레비스타 부근),2,2,1,0,1,0,37.62907074,127.0128474
9418,2019036,2018,보행노인,11320001,서울특별시 도봉구1,서울특별시 도봉구 쌍문동(신원프라자 부근),4,4,0,3,1,0,37.65851192,127.0355342
9419,2019036,2018,보행노인,11320003,서울특별시 도봉구3,서울특별시 도봉구 쌍문동(쌍문1동주민센터 부근),3,3,1,1,1,0,37.64831391,127.0263577
9420,2019036,2018,보행노인,11320004,서울특별시 도봉구4,서울특별시 도봉구 창동(가인초교 부근),3,4,0,3,1,0,37.65920841,127.0424836
